frameIndex;frameTime;pcm_LOGenergy
656;6.560000;-3.400854e+00
657;6.570000;-3.697698e+00
658;6.580000;-4.146918e+00
659;6.590000;-4.701015e+00
660;6.600000;-5.217321e+00
661;6.610000;-5.692407e+00
662;6.620000;-6.284201e+00
663;6.630000;-7.072057e+00
664;6.640000;-8.208097e+00
665;6.650000;-8.996677e+00
666;6.660000;-1.000047e+01
667;6.670000;-1.182781e+01
668;6.680000;-1.367330e+01
669;6.690000;-1.395548e+01
670;6.700000;-9.015263e+00
671;6.710000;-7.033386e+00
672;6.720000;-6.952281e+00
673;6.730000;-7.084250e+00
674;6.740000;-6.841355e+00
675;6.750000;-6.089735e+00
676;6.760000;-5.142004e+00
677;6.770000;-4.455480e+00
678;6.780000;-4.096831e+00
679;6.790000;-4.044908e+00
680;6.800000;-4.206896e+00
681;6.810000;-4.410769e+00
682;6.820000;-4.655918e+00
683;6.830000;-4.991848e+00
684;6.840000;-5.441756e+00
685;6.850000;-5.730634e+00
686;6.860000;-5.533926e+00
687;6.870000;-5.203692e+00
688;6.880000;-4.874357e+00
689;6.890000;-4.594915e+00
690;6.900000;-4.385056e+00
691;6.910000;-4.207020e+00
692;6.920000;-4.029727e+00
693;6.930000;-3.599775e+00
694;6.940000;-3.591439e+00
695;6.950000;-3.954309e+00
696;6.960000;-4.412887e+00
697;6.970000;-4.604509e+00
698;6.980000;-4.714813e+00
699;6.990000;-4.783057e+00
700;7.000000;-4.784509e+00
701;7.010000;-4.862670e+00
702;7.020000;-5.060559e+00
703;7.030000;-5.309345e+00
704;7.040000;-5.513691e+00
705;7.050000;-5.850924e+00
706;7.060000;-6.284559e+00
707;7.070000;-7.179336e+00
708;7.080000;-7.313533e+00
709;7.090000;-8.005814e+00
710;7.100000;-8.016398e+00
711;7.110000;-7.062910e+00
712;7.120000;-6.685230e+00
713;7.130000;-6.416736e+00
714;7.140000;-6.246625e+00
715;7.150000;-5.685982e+00
716;7.160000;-4.998182e+00
717;7.170000;-4.678484e+00
718;7.180000;-4.449864e+00
719;7.190000;-4.515482e+00
720;7.200000;-4.764068e+00
721;7.210000;-5.284870e+00
722;7.220000;-6.514610e+00
723;7.230000;-8.422815e+00
724;7.240000;-9.842185e+00
725;7.250000;-1.128348e+01
726;7.260000;-1.329078e+01
727;7.270000;-1.341084e+01
